state,vg_idx,point,Vg_V,Vds_V,Id_uA_um
ers,1,0,0.2,0.0,4.090668e-06
ers,1,1,0.2,0.05,0.3273477
ers,1,2,0.2,0.1,0.401788
ers,1,3,0.2,0.15,0.4224158
ers,1,4,0.2,0.2,0.4313435
ers,1,5,0.2,0.25,0.4369919
ers,1,6,0.2,0.3,0.4413069
ers,1,7,0.2,0.35,0.4448662
ers,1,8,0.2,0.4,0.4478947
ers,1,9,0.2,0.45,0.4505051
ers,1,10,0.2,0.5,0.4528403
ers,1,11,0.2,0.55,0.4549303
ers,1,12,0.2,0.6,0.4567565
ers,1,13,0.2,0.65,0.4583445
ers,1,14,0.2,0.7,0.4597672
ers,1,15,0.2,0.75,0.4610808
ers,1,16,0.2,0.8,0.4622932
ers,1,17,0.2,0.85,0.4634004
ers,1,18,0.2,0.9,0.4644009
ers,1,19,0.2,0.95,0.4652997
ers,1,20,0.2,1.0,0.4661135
ltp03,1,0,0.2,0.0,4.755248e-06
ltp03,1,1,0.2,0.05,23.15344
ltp03,1,2,0.2,0.1,40.67882
ltp03,1,3,0.2,0.15,52.37825
ltp03,1,4,0.2,0.2,58.9087
ltp03,1,5,0.2,0.25,62.08205
ltp03,1,6,0.2,0.3,63.69446
ltp03,1,7,0.2,0.35,64.69225
ltp03,1,8,0.2,0.4,65.38977
ltp03,1,9,0.2,0.45,65.90366
ltp03,1,10,0.2,0.5,66.28826
ltp03,1,11,0.2,0.55,66.57451
ltp03,1,12,0.2,0.6,66.78203
ltp03,1,13,0.2,0.65,66.92353
ltp03,1,14,0.2,0.7,67.00725
ltp03,1,15,0.2,0.75,67.03713
ltp03,1,16,0.2,0.8,67.01869
ltp03,1,17,0.2,0.85,66.95776
ltp03,1,18,0.2,0.9,66.85515
ltp03,1,19,0.2,0.95,66.72293
ltp03,1,20,0.2,1.0,66.56492
ltp06,1,0,0.2,0.0,2.424337e-05
ltp06,1,1,0.2,0.05,25.18803
ltp06,1,2,0.2,0.1,45.2866
ltp06,1,3,0.2,0.15,60.00099
ltp06,1,4,0.2,0.2,69.50144
ltp06,1,5,0.2,0.25,74.90301
ltp06,1,6,0.2,0.3,77.96505
ltp06,1,7,0.2,0.35,79.99164
ltp06,1,8,0.2,0.4,81.56541
ltp06,1,9,0.2,0.45,82.89578
ltp06,1,10,0.2,0.5,84.0607
ltp06,1,11,0.2,0.55,85.1006
ltp06,1,12,0.2,0.6,86.03898
ltp06,1,13,0.2,0.65,86.8912
ltp06,1,14,0.2,0.7,87.6675
ltp06,1,15,0.2,0.75,88.37455
ltp06,1,16,0.2,0.8,89.0169
ltp06,1,17,0.2,0.85,89.59643
ltp06,1,18,0.2,0.9,90.11838
ltp06,1,19,0.2,0.95,90.58868
ltp06,1,20,0.2,1.0,91.00768
ltp09,1,0,0.2,0.0,1.481032e-05
ltp09,1,1,0.2,0.05,32.83239
ltp09,1,2,0.2,0.1,61.26448
ltp09,1,3,0.2,0.15,84.97045
ltp09,1,4,0.2,0.2,103.6271
ltp09,1,5,0.2,0.25,117.0835
ltp09,1,6,0.2,0.3,125.7213
ltp09,1,7,0.2,0.35,130.7448
ltp09,1,8,0.2,0.4,133.7111
ltp09,1,9,0.2,0.45,135.7031
ltp09,1,10,0.2,0.5,137.1949
ltp09,1,11,0.2,0.55,138.3968
ltp09,1,12,0.2,0.6,139.3921
ltp09,1,13,0.2,0.65,140.2237
ltp09,1,14,0.2,0.7,140.9194
ltp09,1,15,0.2,0.75,141.4979
ltp09,1,16,0.2,0.8,141.9723
ltp09,1,17,0.2,0.85,142.3518
ltp09,1,18,0.2,0.9,142.643
ltp09,1,19,0.2,0.95,142.8518
ltp09,1,20,0.2,1.0,142.9818
ltp12,1,0,0.2,0.0,6.56984e-06
ltp12,1,1,0.2,0.05,37.13368
ltp12,1,2,0.2,0.1,70.2008
ltp12,1,3,0.2,0.15,98.94023
ltp12,1,4,0.2,0.2,123.0558
ltp12,1,5,0.2,0.25,142.2507
ltp12,1,6,0.2,0.3,156.3608
ltp12,1,7,0.2,0.35,165.6555
ltp12,1,8,0.2,0.4,171.1373
ltp12,1,9,0.2,0.45,174.2652
ltp12,1,10,0.2,0.5,176.1906
ltp12,1,11,0.2,0.55,177.4973
ltp12,1,12,0.2,0.6,178.4285
ltp12,1,13,0.2,0.65,179.1083
ltp12,1,14,0.2,0.7,179.59
ltp12,1,15,0.2,0.75,179.9085
ltp12,1,16,0.2,0.8,180.0876
ltp12,1,17,0.2,0.85,180.1441
ltp12,1,18,0.2,0.9,180.0902
ltp12,1,19,0.2,0.95,179.935
ltp12,1,20,0.2,1.0,179.686
ltp15,1,0,0.2,0.0,1.574161e-06
ltp15,1,1,0.2,0.05,40.17668
ltp15,1,2,0.2,0.1,76.46681
ltp15,1,3,0.2,0.15,108.6479
ltp15,1,4,0.2,0.2,136.4648
ltp15,1,5,0.2,0.25,159.635
ltp15,1,6,0.2,0.3,177.8905
ltp15,1,7,0.2,0.35,191.1237
ltp15,1,8,0.2,0.4,199.6846
ltp15,1,9,0.2,0.45,204.617
